Topic,Difficulty,Question,Answer
python,intermediate,What are decorators in Python? How can they be used in a data science context?,"A decorator is a design pattern that allows a user to modify or extend a function or class without permanently altering its source code. It is essentially a function that takes another function as an argument, adds some functionality, and returns the modified function. Syntax: Using the @ symbol before a function definition. Data Science Use Cases: Logging: Automatically log the input parameters and output results of a machine learning function. Timing/Profiling: Measure the execution time of expensive functions (e.g., model training or large data transformations). Caching: Memoizing the results of pure functions to avoid re-computation (common in feature engineering)."
python,intermediate,"How do you group data in Pandas, and what is the significance of the groupby() method?","The groupby() method is the core of split-apply-combine strategy in Pandas. It's used to group a DataFrame using a mapping or function, and then apply a function (like an aggregation or transformation) to the resulting groups.  Steps (Split-Apply-Combine):  Split: The DataFrame is split into groups based on a key (e.g., a categorical column). Apply: A function (e.g., sum(), mean(), count(), transform(), apply()) is applied to each group independently. Combine: The results of the applied function are combined into a new DataFrame or Series. Example: Calculate the average age for each city. df.groupby('City')['Age'].mean()"
python,intermediate,Explain the concept of vectorization in Python for data science.,"Vectorization is the process of performing operations on entire arrays (vectors) at once, rather than on individual elements in a Python loop. How it works: Libraries like NumPy and Pandas leverage highly optimized, low-level C code to execute these array operations. Significance: It drastically improves performance and reduces computation time because it minimizes the overhead of Python's interpreter loop. Example: Instead of: [x*2 for x in my_list], you use the vectorized operation: numpy_array * 2."
python,intermediate,"What is the GIL (Global Interpreter Lock), and how does it affect multi-threading?","GIL: A mutex (lock) that protects access to Python objects, preventing multiple native threads from executing Python bytecodes simultaneously. In essence, it ensures that only one thread can be running Python code at any given moment. Effect on Multi-Threading (CPU-bound tasks): For tasks that are heavily CPU-bound (e.g., intensive numerical computation), the GIL effectively makes multi-threading useless for parallelism, as threads are forced to wait for the lock. Workaround: For CPU-bound tasks, the multiprocessing module is used (since each process gets its own Python interpreter and its own GIL). Data Science libraries (NumPy, Pandas) often release the GIL during their low-level C calculations, allowing them to utilize multiple cores."
python,intermediate,How do you save and load a trained machine learning model in Python?,"This process is called serialization and deserialization. The most common Python modules for this are: pickle: Python's built-in module for serializing and deserializing Python object structures. joblib: A library built on pickle that is often more efficient for large NumPy arrays (common in machine learning models) as it can handle large data more effectively. import joblib from sklearn.linear_model import LogisticRegression # Assuming 'model' is a trained object # Saving the model joblib.dump(model, 'logistic_model.pkl') # Loading the model loaded_model = joblib.load('logistic_model.pkl')"
python,intermediate,Describe the difference between classes and objects.,"This is a fundamental OOP question: Class: A blueprint or a template for creating objects. It defines a set of attributes (variables) and methods (functions) that the created object will possess. A class is a logical construct that does not occupy any memory. Object (Instance): A concrete instance of a class. It is a real entity created from the blueprint. An object occupies memory and has a specific state defined by the values of its attributes. Analogy: A Class is like the design for a house, and an Object is an actual, built house based on that design."
python,intermediate,How do you calculate the variance and standard deviation of a NumPy array?,"NumPy provides highly optimized methods directly on the ndarray object:Variance: Use the .var() method.Standard Deviation: Use the .std() method.Note: By default, NumPy uses the N (population) denominator for the calculations. You can specify the Degrees of Freedom (ddof) parameter for N-1 (sample) denominator, which is common in statistics.  arr = np.array([1, 2, 3, 4, 5]) print(arr.var())    # Population variance print(arr.std())    # Population standard deviation"
python,intermediate,How would you scale numerical features in a Pandas DataFrame?,"Scaling is typically done using Scikit-learn (sklearn) preprocessors, which are designed to be used within a Machine Learning pipeline: Standardization (StandardScaler): Rescales data to have a mean of 0 and a standard deviation of 1. Min-Max Scaling (MinMaxScaler): Rescales data to a fixed range, usually 0 to 1. Implementation (StandardScaler Example): from sklearn.preprocessing import StandardScaler import pandas as pd # 1. Initialize the Scaler scaler = StandardScaler() # 2. Fit and Transform the column(s) df['Scaled_Feature'] = scaler.fit_transform(df[['Original_Feature']])"
python,advanced,"What is the difference between map(), apply(), and applymap() in Pandas?","These are all used to apply functions, but at different granularities: Function,Granularity,Input/Output,Primary Use Case Series.map(),Element-wise on a Series,""Accepts a dictionary, Series, or function."",""Mapping values from one set to another (e.g., replacing categorical codes with labels)."" DataFrame.apply(),Along an axis (row or column),Accepts a function.,Applying custom function to each row (axis=1) or column (axis=0). Used for feature engineering. DataFrame.applymap(),Element-wise on a DataFrame,Accepts a function.,Applying a function to every single element in the entire DataFrame. (Now largely superseded by df.map and df.apply(lambda x: x.map()))"
python,advanced,How would you handle a dataset that is too large to fit into memory using Python?,"The general strategy is to employ lazy loading and parallel/distributed computing: Pandas Chunking: Read the data in chunks using pd.read_csv(..., chunksize=N). Process each chunk (e.g., aggregate, clean) and store the results before combining them. Dask DataFrames: Use the Dask library, which mimics Pandas syntax but parallelizes operations across a cluster or multiple cores, keeping only necessary chunks in memory. Database/Spark: Store the data in a database (like SQL) or use a distributed computing framework like Apache Spark (via PySpark), which is designed to handle petabytes of data by distributing it across many machines. Optimized Formats: Use memory-efficient storage formats like Parquet or HDF5, which allow for column-wise reading and compression."
python,advanced,Describe how the sklearn.pipeline module helps in machine learning workflows.,"The Pipeline class in Scikit-learn chains together multiple processing steps (transformers and an estimator) into a single object.  Benefits:  Convenience: Simplifies the workflow by applying all transformations (imputation, scaling, feature engineering) and the final model training in one fit() and predict() call.  Safety/Correctness: Prevents data leakage. When performing cross-validation, the pipeline ensures that transformations (like scaling or imputation) are fit() only on the training folds and then transform()ed to both training and validation folds. Reproducibility: The entire sequence of steps is saved/loaded as a single, reproducible object when serializing the model."
python,advanced,"How do you perform a time-series rolling calculation (e.g., a 7-day moving average) in Pandas?","Rolling calculations are a core time-series operation in data science. It is done using the .rolling() method on a Pandas Series or DataFrame. Define the Window: Specify the size of the rolling window (e.g., '7D' for 7 days or 7 for 7 periods). Apply Calculation: Apply an aggregation function (e.g., .mean(), .sum(), .std()). df['Close_Price_7D_MA'] = df['Close_Price'].rolling(window='7D').mean()  # '7D' is used for a time-based index.  # Use 'window=7' for a period-based index."
python,advanced,Explain the concept of Duck Typing in Python and its relevance to Data Science libraries.,"Duck Typing: A concept in dynamic languages where the type of an object is less important than the methods it supports. If an object walks like a duck and quacks like a duck, it is a duck. Example: Python doesn't care if an object is a list or a custom iterable class, as long as it has the required __iter__ method to be iterated over in a for loop. Relevance to Data Science: Interoperability: This is why NumPy arrays, Pandas DataFrames, and Scikit-learn estimators can often be seamlessly passed between different functions and libraries, as they all adhere to specific ""protocols"" (e.g., a Scikit-learn estimator must have fit() and predict() methods)."
python,advanced,"What are f-strings, and why are they considered better than other formatting methods?","f-strings (formatted string literals, introduced in Python 3.6) allow you to embed Python expressions inside string literals using curly braces {}. They are prefixed with an 'f'. Example: f""The result is {value:.2f}"" Why they are better: Readability: They are much easier to read and write than older methods (.format() or % formatting). Performance: They are generally the fastest way to format strings because the heavy lifting is done at compilation time. Conciseness: Expressions (e.g., function calls, arithmetic) can be directly included inside the braces."
python,advanced,How would you use a collections.Counter for feature engineering?,"collections.Counter is a subclass of dict that is specifically designed for counting hashable objects. Feature Engineering Use Case (Frequency Encoding): Calculate Frequencies: Use Counter to quickly get the frequency of each category in a nominal feature column. Create a New Feature: Map the frequency count back to the original DataFrame as a new numerical feature. This works well for high-cardinality categorical features. from collections import Counter import pandas as pd  data = ['A', 'B', 'A', 'C', 'B', 'A'] counts = Counter(data) # Output: {'A': 3, 'B': 2, 'C': 1} # Map frequency back to the original list/Series frequency_feature = [counts[item] for item in data] # Output: [3, 2, 3, 1, 2, 3]"
python,advanced,"How do you check if a DataFrame has a ""SettingWithCopyWarning"", and how do you resolve it?","What it is: The warning occurs when Pandas thinks you might be modifying a copy or a view of a slice of the original DataFrame, rather than the original DataFrame itself. The modification might not stick to the original DataFrame, leading to silent data errors. Checking: The warning appears automatically during the operation. Resolution: Always use the .loc accessor to ensure you are modifying the intended data.  # CODE THAT CAUSES WARNING (Chained assignment) # df[df['score'] > 90]['grade'] = 'A'   # CORRECT CODE (Using .loc for explicit assignment) df.loc[df['score'] > 90, 'grade'] = 'A'"
python,advanced,"In Scikit-learn, what is the purpose of the fit_transform method versus just fit or transform?","These are used by Scikit-learn's transformers (e.g., StandardScaler, OneHotEncoder).fit(X): Calculates the necessary parameters/statistics from the data X.Example: For StandardScaler, it calculates the mean and standard deviation of X.transform(X): Applies the transformation to the data X using the parameters calculated in the fit step.fit_transform(X): A convenience method that first calls fit(X) and then immediately calls transform(X). It is used only on the training data.Key Distinction: To prevent data leakage, you use fit_transform() on the training data to calculate statistics and apply the transformation. You only use transform() (and never fit()) on the test/validation data to apply the same statistics derived from the training set."
python,advanced,How does scipy.stats support hypothesis testing in Python?,"The scipy.stats module provides a comprehensive suite of statistical functions, including tools for hypothesis testing.Functionality: It includes functions for standard tests like $t$-tests (ttest_ind, ttest_rel), ANOVA (f_oneway), chi-squared tests (chisquare), and non-parametric tests (e.g., mannwhitneyu).Usage: You provide the sample data, and the functions return the test statistic and the p-value. The p-value allows the data scientist to determine whether to reject the null hypothesis."
python,advanced,What is multithreading and multiprocessing in Python?,Multithreading: multiple threads share the same memory (good for I/O-bound tasks). Multiprocessing: multiple processes with separate memory (good for CPU-bound tasks).  from threading import Thread from multiprocessing import Process
python,advanced,What are asynchronous functions (async/await) used for?,"Used for concurrent (non-blocking) code execution, mainly in I/O-bound tasks. import asyncio async def fetch_data():     await asyncio.sleep(1)     return ""done"""
SQL,beginner,What does SQL stand for?,Structured Query Language.
SQL,beginner,What is a database?,A database is an organized collection of structured data stored electronically.
SQL,beginner,What is a table in SQL?,A table is a collection of related data entries organized in rows and columns.
SQL,beginner,What is a primary key?,A column or set of columns that uniquely identifies each record in a table.
SQL,beginner,What is a foreign key?,A key used to link two tables together based on a related column.
SQL,beginner,What is the purpose of the SELECT statement?,It retrieves data from a database.
SQL,beginner,What is the WHERE clause used for?,It filters records based on a specified condition.
SQL,beginner,What does the DISTINCT keyword do?,It returns unique values by removing duplicates.
SQL,beginner,What is the ORDER BY clause used for?,It sorts the result set in ascending or descending order.
SQL,beginner,What is the LIMIT clause used for?,It restricts the number of records returned.
SQL,beginner,What is an SQL query?,A command written to perform a specific operation on a database.
SQL,beginner,What does the INSERT statement do?,It adds new rows to a table.
SQL,beginner,What does the UPDATE statement do?,It modifies existing records in a table.
SQL,beginner,What does the DELETE statement do?,It removes records from a table.
SQL,beginner,What is the default sorting order in SQL?,Ascending order (ASC).
SQL,beginner,What is a NULL value?,A missing or undefined value in a table column.
SQL,beginner,How do you rename a column in SQL?,Using the AS keyword in a SELECT statement.
SQL,beginner,What is a constraint in SQL?,A rule enforced on data columns to maintain data integrity.
SQL,beginner,What is the difference between CHAR and VARCHAR?,"CHAR is fixed-length, VARCHAR is variable-length."
SQL,beginner,How do you retrieve all columns from a table?,Use SELECT * FROM table_name;
SQL,intermediate,What is a JOIN in SQL?,A JOIN combines rows from two or more tables based on related columns.
SQL,intermediate,What is an INNER JOIN?,It returns only rows with matching values in both tables.
SQL,intermediate,What is a LEFT JOIN?,It returns all rows from the left table and matching rows from the right table.
SQL,intermediate,What is a RIGHT JOIN?,It returns all rows from the right table and matching rows from the left table.
SQL,intermediate,What is a FULL OUTER JOIN?,It returns all rows when there is a match in one of the tables.
SQL,intermediate,What is a SELF JOIN?,A join where a table is joined with itself.
SQL,intermediate,What is a UNION in SQL?,It combines the results of two SELECT statements and removes duplicates.
SQL,intermediate,What is UNION ALL?,It combines results from multiple SELECTs without removing duplicates.
SQL,intermediate,What is a subquery?,A query nested inside another query.
SQL,intermediate,What is a view?,A virtual table based on the result of a SQL query.
SQL,intermediate,What is a stored procedure?,A saved collection of SQL statements that can be executed as a unit.
SQL,intermediate,What is an index in SQL?,A database object that improves query performance by speeding up data retrieval.
SQL,intermediate,What is normalization?,The process of organizing data to reduce redundancy and improve integrity.
SQL,intermediate,What is denormalization?,Adding redundancy to improve query performance.
SQL,intermediate,What is the GROUP BY clause used for?,It groups rows sharing a property for aggregation functions.
SQL,intermediate,What are aggregate functions?,"Functions like COUNT, SUM, AVG, MIN, MAX that operate on groups of values."
SQL,intermediate,What is the HAVING clause used for?,It filters grouped data after aggregation.
SQL,intermediate,What is a trigger in SQL?,A stored procedure that runs automatically when an event occurs in a table.
SQL,intermediate,What is a transaction?,A sequence of operations performed as a single logical unit of work.
SQL,intermediate,What are ACID properties?,"Atomicity, Consistency, Isolation, Durability — ensure reliable transactions."
SQL,advanced,What is a CTE (Common Table Expression)?,"A temporary result set defined within the execution scope of a SELECT, INSERT, UPDATE, or DELETE statement."
SQL,advanced,What is a window function?,A function that performs calculations across a set of rows related to the current row.
SQL,advanced,What is partitioning in SQL?,"Dividing a database object like a table into smaller, manageable pieces."
SQL,advanced,What is sharding?,Distributing data across multiple servers to improve performance and scalability.
SQL,advanced,Explain indexing strategies.,Use indexing on frequently searched columns and avoid over-indexing to prevent performance loss on writes.
SQL,advanced,What is query optimization?,"The process of improving query performance using indexes, statistics, and query rewriting."
SQL,advanced,What is the difference between clustered and non-clustered index?,A clustered index sorts and stores rows physically; non-clustered does not.
SQL,advanced,What is a materialized view?,A database object that stores the results of a query physically for faster access.
SQL,advanced,Explain deadlock in SQL.,A situation where two transactions block each other by holding resources the other needs.
SQL,advanced,What is replication in SQL?,Copying and maintaining database objects in multiple databases for consistency and availability.
Machine Learning,beginner,What is Machine Learning?,A field of AI that enables systems to learn and improve from experience without explicit programming.
Machine Learning,beginner,What are the main types of Machine Learning?,"Supervised, Unsupervised, and Reinforcement Learning."
Machine Learning,beginner,What is supervised learning?,A learning method using labeled data to train a model to make predictions.
Machine Learning,beginner,What is unsupervised learning?,A learning method using unlabeled data to find patterns or groupings.
Machine Learning,beginner,What is reinforcement learning?,A method where an agent learns by interacting with an environment and receiving rewards or penalties.
Machine Learning,beginner,What is a dataset?,A collection of data used for training and testing a machine learning model.
Machine Learning,beginner,What is a feature?,An individual measurable property or characteristic of the data.
Machine Learning,beginner,What is a label in ML?,The target variable or output we aim to predict in supervised learning.
Machine Learning,beginner,What is overfitting?,When a model performs well on training data but poorly on unseen data.
Machine Learning,beginner,What is underfitting?,When a model is too simple to capture the underlying pattern in the data.
Machine Learning,beginner,What is training data?,The data used to train a machine learning model.
Machine Learning,beginner,What is testing data?,The data used to evaluate the performance of a trained model.
Machine Learning,beginner,What is cross-validation?,A technique to assess model performance by splitting data into multiple training and testing sets.
Machine Learning,beginner,What is a confusion matrix?,A table used to evaluate classification model performance by comparing predicted and actual labels.
Machine Learning,beginner,What is accuracy?,The ratio of correctly predicted observations to the total observations.
Machine Learning,beginner,What is precision?,The ratio of true positives to the total predicted positives.
Machine Learning,beginner,What is recall?,The ratio of true positives to the total actual positives.
Machine Learning,beginner,What is F1-score?,The harmonic mean of precision and recall.
Machine Learning,beginner,What is feature scaling?,A technique to normalize or standardize data features to improve model performance.
Machine Learning,beginner,What is a decision tree?,A model that splits data based on feature values to make predictions in a tree-like structure.
Machine Learning,intermediate,What is gradient descent?,An optimization algorithm used to minimize the loss function by adjusting model parameters.
Machine Learning,intermediate,What is the learning rate?,A parameter that controls the size of steps in gradient descent.
Machine Learning,intermediate,What is regularization?,A technique to prevent overfitting by adding a penalty to the loss function.
Machine Learning,intermediate,What is L1 regularization?,"Also known as Lasso, it adds the absolute value of coefficients as a penalty term."
Machine Learning,intermediate,What is L2 regularization?,"Also known as Ridge, it adds the squared value of coefficients as a penalty term."
Machine Learning,intermediate,What is logistic regression?,A classification algorithm that models the probability of a binary outcome.
Machine Learning,intermediate,What is a confusion matrix used for?,To measure model performance by comparing predicted and true labels.
Machine Learning,intermediate,What is a support vector machine?,A model that finds the optimal hyperplane that best separates different classes.
Machine Learning,intermediate,What is k-means clustering?,An unsupervised algorithm that groups data into k clusters based on similarity.
Machine Learning,intermediate,What is PCA (Principal Component Analysis)?,A dimensionality reduction technique that transforms data into uncorrelated components.
Machine Learning,intermediate,What is bias in ML?,Error introduced by simplifying assumptions in the model.
Machine Learning,intermediate,What is variance in ML?,Error introduced by model sensitivity to small fluctuations in training data.
Machine Learning,intermediate,What is the bias-variance tradeoff?,Balancing model simplicity and complexity to minimize total error.
Machine Learning,intermediate,What is feature selection?,Choosing the most important features for training a model.
